2023-05-26 12:00:00 a.m.;2023-05-26 1:00:00 p.m.;2023-05-26 12:00:00 a.m.;Ate a towel 
2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;Pissed my pants
2023-05-26 1:00:00 a.m.;2023-05-26 2:00:00 a.m.;2023-05-26 12:00:00 a.m.;Took a walk in my closet
2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;Cleaned my house 
2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;Meowing!
2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;barking
2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;Eating grass
2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;eating more grass
2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;Washing the walls 
2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;2023-05-26 12:00:00 a.m.;plucking the carpet with a tweezer
2023-05-25 1:00:00 a.m.;2023-05-25 2:00:00 a.m.;2023-05-25 12:00:00 a.m.;STOPPED JIMMING AND DIED
2023-06-02 12:00:00 a.m.;2023-06-02 12:00:00 a.m.;2023-06-02 12:00:00 a.m.;Got inspiration from YouTube videos
2023-06-01 1:00:00 a.m.;2023-06-01 2:00:00 a.m.;2023-06-01 12:00:00 a.m.;Drank wata 
